Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro F1,Accuracy Delta,Weighted F1 Delta
Baseline (Frozen),0.6379,0.6474,0.6379,0.6236,0.5775,0.0,0.0
Candidate A,0.7137931034482758,0.7132077576486952,0.7137931034482758,0.7033058232129106,0.6646853458401173,0.07589310344827582,0.07970582321291053
Candidate B,0.7344827586206897,0.7238233056738289,0.7344827586206897,0.7230682579664716,0.6861644379716669,0.09658275862068966,0.09946825796647152
Candidate C,0.7137931034482758,0.7168034622476469,0.7137931034482758,0.7113621929274763,0.679368587060421,0.07589310344827582,0.08776219292747622
