crop,eval_track,num_samples,baseline_accuracy,adapted_accuracy,delta_accuracy,baseline_macro_f1,adapted_macro_f1,delta_macro_f1,baseline_weighted_f1,adapted_weighted_f1,delta_weighted_f1
tomato,internal_test,2180,0.9022935779816513,0.8972477064220183,-0.005045871559632986,0.8780394764116014,0.8716259241603943,-0.0064135522512071,0.9018273523237428,0.8966945862559424,-0.005132766067800332
tomato,track_b,272,0.15073529411764705,0.15073529411764705,0.0,0.07784961733467928,0.12079646839529665,0.042946851060617366,0.08586354853089626,0.13323139896540073,0.04736785043450448
tomato,track_c,188,0.24468085106382978,0.2765957446808511,0.031914893617021295,0.12985909983140775,0.17719627194881174,0.047337172117403986,0.1686873576734856,0.25821779933705585,0.08953044166357024
tomato,phase_18,460,0.1891304347826087,0.20217391304347826,0.013043478260869573,0.09429488411556106,0.14682606374002438,0.052531179624463326,0.11824686248981564,0.181489653300839,0.06324279081102335
grape,internal_test,931,0.8904403866809882,0.878625134264232,-0.011815252416756183,0.863078994129245,0.8328080918078246,-0.03027090232142049,0.8867933697043047,0.8722894414534035,-0.014503928250901188
grape,track_b,180,0.1388888888888889,0.15555555555555556,0.016666666666666663,0.07978392107311968,0.10318313443313444,0.023399213360014756,0.09308124125197295,0.1203803235053235,0.02729908225335055
grape,track_c,100,0.07,0.09,0.01999999999999999,0.052622498274672184,0.06703772418058132,0.014415225905909136,0.06864734299516907,0.07709090909090908,0.008443566095740013
grape,phase_18,280,0.11428571428571428,0.13214285714285715,0.017857142857142863,0.07337460581915399,0.09333443442592719,0.0199598286067732,0.0845233400388646,0.10371710953572913,0.019193769496864535
