crop,model,eval_track,num_samples,accuracy,macro_f1,weighted_f1
tomato,baseline,internal_test,2180,0.9022935779816513,0.8780394764116014,0.9018273523237428
tomato,baseline,track_b,272,0.15073529411764705,0.07784961733467928,0.08586354853089626
tomato,baseline,track_c,188,0.24468085106382978,0.12985909983140775,0.1686873576734856
tomato,baseline,phase_18,460,0.1891304347826087,0.09429488411556106,0.11824686248981564
grape,baseline,internal_test,931,0.8904403866809882,0.863078994129245,0.8867933697043047
grape,baseline,track_b,180,0.1388888888888889,0.07978392107311968,0.09308124125197295
grape,baseline,track_c,100,0.07,0.052622498274672184,0.06864734299516907
grape,baseline,phase_18,280,0.11428571428571428,0.07337460581915399,0.0845233400388646
