epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6880673170089722,0.0010000000474974513,0.9249145984649658,0.8324382305145264,0.46745508909225464
1,0.8164710998535156,0.0010000000474974513,0.5177819132804871,0.8592910766601562,0.3780914843082428
2,0.8244410157203674,0.0010000000474974513,0.474607914686203,0.8700322508811951,0.3373090922832489
3,0.8443657159805298,0.0010000000474974513,0.42964476346969604,0.8614392876625061,0.35711541771888733
4,0.8468009829521179,0.0010000000474974513,0.4035246968269348,0.8721804618835449,0.31859487295150757
5,0.8525570034980774,0.0010000000474974513,0.38155555725097656,0.8721804618835449,0.3028244078159332
6,0.8676112294197083,0.0010000000474974513,0.35837194323539734,0.8850698471069336,0.32147279381752014
7,0.8653973937034607,0.0010000000474974513,0.35847336053848267,0.8754028081893921,0.3177696168422699
8,0.8673898577690125,0.0010000000474974513,0.3456421196460724,0.8818475008010864,0.29638442397117615
9,0.8642904758453369,0.0010000000474974513,0.3407476842403412,0.8646616339683533,0.31751537322998047
10,0.8689395785331726,0.0010000000474974513,0.34153294563293457,0.8485499620437622,0.37670207023620605
11,0.8711534142494202,0.0010000000474974513,0.33184048533439636,0.8711063265800476,0.3308548629283905
12,0.8826655149459839,0.0005000000237487257,0.3118642270565033,0.882921576499939,0.2999004125595093
13,0.8784591555595398,0.0005000000237487257,0.31592804193496704,0.8775510191917419,0.3048362135887146
