crop,model,eval_track,num_samples,accuracy,macro_f1,weighted_f1
tomato,field_adapted,internal_test,2180,0.8972477064220183,0.8716259241603943,0.8966945862559424
tomato,field_adapted,track_b,272,0.15073529411764705,0.12079646839529665,0.13323139896540073
tomato,field_adapted,track_c,188,0.2765957446808511,0.17719627194881174,0.25821779933705585
tomato,field_adapted,phase_18,460,0.20217391304347826,0.14682606374002438,0.181489653300839
grape,field_adapted,internal_test,931,0.878625134264232,0.8328080918078246,0.8722894414534035
grape,field_adapted,track_b,180,0.15555555555555556,0.10318313443313444,0.1203803235053235
grape,field_adapted,track_c,100,0.09,0.06703772418058132,0.07709090909090908
grape,field_adapted,phase_18,280,0.13214285714285715,0.09333443442592719,0.10371710953572913
