epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6897763609886169,0.0010000000474974513,0.942206859588623,0.8558971881866455,0.4847971200942993
1,0.8044136166572571,0.0010000000474974513,0.5800226330757141,0.8678292632102966,0.41957971453666687
2,0.8264817595481873,0.0010000000474974513,0.5144217610359192,0.8797613382339478,0.3667597770690918
3,0.8490381836891174,0.0010000000474974513,0.45842957496643066,0.8797613382339478,0.3821898400783539
4,0.8491358160972595,0.0010000000474974513,0.4462314248085022,0.8912345170974731,0.34474441409111023
5,0.8508934378623962,0.0010000000474974513,0.4422641396522522,0.8815970420837402,0.3461306393146515
6,0.8589981198310852,0.0010000000474974513,0.424722284078598,0.8930702209472656,0.3301706612110138
7,0.858802855014801,0.0010000000474974513,0.42286673188209534,0.8976594805717468,0.3271600902080536
8,0.8642710447311401,0.0010000000474974513,0.4018246829509735,0.8939880728721619,0.33006003499031067
9,0.8645640015602112,0.0010000000474974513,0.4021313488483429,0.8944469690322876,0.3327012360095978
10,0.8599746227264404,0.0010000000474974513,0.421397864818573,0.8857274055480957,0.3386569917201996
11,0.8671028017997742,0.0005000000237487257,0.392187237739563,0.9040844440460205,0.3055366277694702
12,0.8684698939323425,0.0005000000237487257,0.397363543510437,0.9063790440559387,0.3034597635269165
13,0.87530517578125,0.0005000000237487257,0.37097325921058655,0.9040844440460205,0.3026348054409027
14,0.87530517578125,0.0005000000237487257,0.36699560284614563,0.902248740196228,0.3042597472667694
15,0.8736451268196106,0.0005000000237487257,0.3759557604789734,0.8990362286567688,0.2996324896812439
16,0.8712039589881897,0.0005000000237487257,0.3740573823451996,0.899954080581665,0.31348374485969543
17,0.871985137462616,0.0005000000237487257,0.3654347360134125,0.8981183767318726,0.3057240843772888
18,0.8744263052940369,0.0005000000237487257,0.3675103187561035,0.8967416286468506,0.3044663369655609
19,0.8772580623626709,0.0002500000118743628,0.36256521940231323,0.9082147479057312,0.2931607961654663
20,0.8762816190719604,0.0002500000118743628,0.3627657890319824,0.9100505113601685,0.2864045798778534
21,0.8757933974266052,0.0002500000118743628,0.3612982928752899,0.9068379998207092,0.28807371854782104
22,0.8820427656173706,0.0002500000118743628,0.3449564576148987,0.9068379998207092,0.2961233854293823
23,0.8814569115638733,0.0002500000118743628,0.34712740778923035,0.907296895980835,0.3003596365451813
24,0.880675733089447,0.0001250000059371814,0.34833717346191406,0.905920147895813,0.2920888364315033
25,0.8833121657371521,0.0001250000059371814,0.3460920453071594,0.9086737036705017,0.29189667105674744
