crop,eval_track,class_index,class_name,is_target_augmented_class,baseline_precision,adapted_precision,delta_precision,baseline_recall,adapted_recall,delta_recall,baseline_f1,adapted_f1,delta_f1
tomato,internal_test,0,Tomato___Bacterial_spot,False,0.9105058365758755,0.8953488372093024,-0.01515699936657311,0.9140625,0.90234375,-0.01171875,0.9122807017543859,0.8988326848249028,-0.013448016929483164
tomato,internal_test,1,Tomato___Early_blight,False,0.8241758241758241,0.9058823529411765,0.08170652876535234,0.625,0.6416666666666667,0.01666666666666672,0.7109004739336493,0.751219512195122,0.04031903826147265
tomato,internal_test,2,Tomato___Late_blight,False,0.8931623931623932,0.8974358974358975,0.004273504273504258,0.9126637554585153,0.9170305676855895,0.004366812227074246,0.9028077753779697,0.9071274298056156,0.004319654427645814
tomato,internal_test,3,Tomato___Leaf_Mold,False,0.8962264150943396,0.8416666666666667,-0.05455974842767297,0.8333333333333334,0.8859649122807017,0.05263157894736836,0.8636363636363636,0.8632478632478633,-0.00038850038850035684
tomato,internal_test,4,Tomato___Septoria_leaf_spot,False,0.8590909090909091,0.8447488584474886,-0.014342050643420534,0.8873239436619719,0.8685446009389671,-0.018779342723004744,0.8729792147806005,0.8564814814814815,-0.016497733299118966
tomato,internal_test,5,Tomato___Spider_mites Two-spotted_spider_mite,False,0.8472906403940886,0.8431372549019608,-0.004153385492127848,0.8557213930348259,0.8557213930348259,0.0,0.8514851485148515,0.8493827160493828,-0.0021024324654687065
tomato,internal_test,6,Tomato___Target_Spot,False,0.7357512953367875,0.7472527472527473,0.011501451915959748,0.8452380952380952,0.8095238095238095,-0.0357142857142857,0.7867036011080333,0.7771428571428571,-0.009560743965176144
tomato,internal_test,7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,0.9904306220095693,0.9856230031948882,-0.004807618814681169,0.9657853810264385,0.9595645412130638,-0.0062208398133747345,0.9779527559055118,0.9724192277383766,-0.005533528167135149
tomato,internal_test,8,Tomato___Tomato_mosaic_virus,True,0.9767441860465116,0.9743589743589743,-0.0023852116875372475,0.9333333333333333,0.8444444444444444,-0.0888888888888889,0.9545454545454546,0.9047619047619048,-0.04978354978354982
tomato,internal_test,9,Tomato___healthy,True,0.912621359223301,0.8873239436619719,-0.02529741556132914,0.9842931937172775,0.9895287958115183,0.005235602094240788,0.947103274559194,0.9356435643564357,-0.011459710202758266
