accuracy,loss,val_accuracy,val_loss,learning_rate
0.5404275059700012,1.3039896488189697,0.5241379141807556,1.273546814918518,9.999999747378752e-05
0.6816914677619934,0.8261322379112244,0.6000000238418579,1.1535160541534424,9.999999747378752e-05
0.7253717184066772,0.7269501686096191,0.5793103575706482,1.1564282178878784,9.999999747378752e-05
0.7704461216926575,0.6227351427078247,0.6103448271751404,1.0653358697891235,9.999999747378752e-05
0.7885687947273254,0.5582456588745117,0.4172413647174835,1.754190444946289,9.999999747378752e-05
0.8159851431846619,0.49640777707099915,0.6689655184745789,0.9673334360122681,9.999999747378752e-05
0.8299256563186646,0.45408767461776733,0.5758620500564575,1.400111436843872,9.999999747378752e-05
0.8559479713439941,0.3975374400615692,0.5551724433898926,2.3702993392944336,9.999999747378752e-05
0.8736059665679932,0.3617316782474518,0.6379310488700867,1.359218955039978,9.999999747378752e-05
0.9019516706466675,0.27366748452186584,0.7310344576835632,0.9341189861297607,1.9999999494757503e-05
0.9070631861686707,0.24989363551139832,0.748275876045227,0.8606089353561401,1.9999999494757503e-05
0.921933114528656,0.2243833690881729,0.7275862097740173,0.8218148350715637,1.9999999494757503e-05
0.934944212436676,0.189149409532547,0.7413793206214905,0.8793872594833374,1.9999999494757503e-05
0.9302973747253418,0.20043553411960602,0.7275862097740173,0.9692893028259277,1.9999999494757503e-05
0.9395910501480103,0.1876394897699356,0.7344827651977539,0.8405265212059021,1.9999999494757503e-05
0.9372676610946655,0.185754656791687,0.7241379022598267,0.8595479130744934,3.999999989900971e-06
0.9419144988059998,0.1742902398109436,0.7344827651977539,0.8628689646720886,3.999999989900971e-06
