epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3380177617073059,0.0010000000474974513,1.8361433744430542,0.5310344696044922,1.16616952419281
1,0.48890531063079834,0.0010000000474974513,1.3578635454177856,0.5379310250282288,1.1149197816848755
2,0.5473372936248779,0.0010000000474974513,1.2303268909454346,0.5517241358757019,1.0540531873703003
3,0.6028106212615967,0.0010000000474974513,1.0836948156356812,0.5586206912994385,1.0532097816467285
4,0.5946745276451111,0.0010000000474974513,1.0824944972991943,0.5586206912994385,1.0063025951385498
5,0.63165682554245,0.0010000000474974513,0.9935510158538818,0.5896551609039307,0.981143593788147
6,0.6368343234062195,0.0010000000474974513,0.9935898780822754,0.6000000238418579,0.955498218536377
7,0.6309171319007874,0.0010000000474974513,0.9691946506500244,0.6310344934463501,0.9631814956665039
8,0.6545857787132263,0.0010000000474974513,0.9291502833366394,0.6137930750846863,0.9587200284004211
9,0.6523668766021729,0.0010000000474974513,0.9028909802436829,0.617241382598877,0.965391993522644
10,0.651627242565155,0.0005000000237487257,0.8852323293685913,0.617241382598877,0.9601941108703613
11,0.6649408340454102,0.0005000000237487257,0.8617441058158875,0.6448276042938232,0.9533697962760925
12,0.6789940595626831,0.0005000000237487257,0.8434641361236572,0.6517241597175598,0.950240969657898
13,0.6760355234146118,0.0005000000237487257,0.865652322769165,0.6517241597175598,0.9410800337791443
14,0.6634615659713745,0.0005000000237487257,0.8588372468948364,0.6517241597175598,0.9451622366905212
15,0.6708579659461975,0.0005000000237487257,0.8639420866966248,0.6620689630508423,0.9507126212120056
16,0.6723372936248779,0.0005000000237487257,0.8403462171554565,0.682758629322052,0.9497103095054626
17,0.6819526553153992,0.0002500000118743628,0.8317186832427979,0.682758629322052,0.9505407810211182
18,0.6752958297729492,0.0002500000118743628,0.8280968070030212,0.6793103218078613,0.9550683498382568
