,cerocospora,healthy,murda complex,nutritional deficiency,powdery mildew
cerocospora,109,13,8,4,1
healthy,13,30,6,0,1
murda complex,10,12,19,0,0
nutritional deficiency,19,6,2,10,3
powdery mildew,4,3,0,0,17
