class_label,baseline_f1,candidate_f1,f1_difference,precision,recall,support
cerocospora,0.7517,0.8164794007490637,0.06477940074906363,0.8257575757575758,0.8074074074074075,135.0
healthy,0.5263,0.6055045871559633,0.07920458715596335,0.559322033898305,0.66,50.0
murda complex,0.5,0.6046511627906976,0.10465116279069764,0.5777777777777777,0.6341463414634146,41.0
nutritional deficiency,0.3704,0.5074626865671642,0.1370626865671642,0.6296296296296297,0.425,40.0
powdery mildew,0.7391,0.8627450980392157,0.12364509803921575,0.8148148148148148,0.9166666666666666,24.0
