epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6257396340370178,9.999999747378752e-05,1.0497156381607056,0.6000000238418579,1.4718540906906128
1,0.6715976595878601,9.999999747378752e-05,0.8131096363067627,0.5241379141807556,1.4049519300460815
2,0.7071005702018738,9.999999747378752e-05,0.6792398691177368,0.617241382598877,1.0930380821228027
3,0.7130177617073059,9.999999747378752e-05,0.6408576965332031,0.6379310488700867,1.2267173528671265
4,0.7544378638267517,9.999999747378752e-05,0.5588786005973816,0.6586207151412964,1.087628960609436
5,0.7803254723548889,9.999999747378752e-05,0.4715116620063782,0.6517241597175598,1.1088814735412598
6,0.7877218723297119,9.999999747378752e-05,0.4424222707748413,0.5827586054801941,1.4584922790527344
7,0.8180473446846008,9.999999747378752e-05,0.36821308732032776,0.6275861859321594,1.1778792142868042
8,0.8394970297813416,1.9999999494757503e-05,0.3098633289337158,0.7310344576835632,0.8314351439476013
9,0.8535503149032593,1.9999999494757503e-05,0.2856704592704773,0.7344827651977539,0.827450692653656
10,0.8646449446678162,1.9999999494757503e-05,0.25883445143699646,0.7344827651977539,0.8290585875511169
11,0.8727810382843018,1.9999999494757503e-05,0.25381678342819214,0.7241379022598267,0.8805151581764221
12,0.8875739574432373,1.9999999494757503e-05,0.2374746948480606,0.7310344576835632,0.8406826853752136
13,0.8831360936164856,3.999999989900971e-06,0.22121934592723846,0.7275862097740173,0.8382032513618469
14,0.8831360936164856,3.999999989900971e-06,0.22985216975212097,0.7275862097740173,0.8472781181335449
