,cerocospora,healthy,murda complex,nutritional deficiency,powdery mildew
cerocospora,120,4,9,2,0
healthy,15,24,6,4,1
murda complex,9,3,28,1,0
nutritional deficiency,12,5,2,19,2
powdery mildew,6,1,1,0,16
