epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6094674468040466,9.999999747378752e-05,1.0170594453811646,0.5965517163276672,1.1025809049606323
1,0.6538461446762085,9.999999747378752e-05,0.8976694941520691,0.2862069010734558,3.372345209121704
2,0.6664201021194458,9.999999747378752e-05,0.8757943511009216,0.5931034684181213,1.3867541551589966
3,0.6937869787216187,9.999999747378752e-05,0.8155345916748047,0.6068965792655945,1.2369073629379272
4,0.7011834383010864,1.9999999494757503e-05,0.755359411239624,0.6551724076271057,0.9602545499801636
5,0.7544378638267517,1.9999999494757503e-05,0.6675899624824524,0.665517270565033,0.8835886716842651
6,0.7455621361732483,1.9999999494757503e-05,0.69162917137146,0.7103448510169983,0.8894956111907959
7,0.7596153616905212,1.9999999494757503e-05,0.638462483882904,0.7379310131072998,0.8620243668556213
8,0.7514792680740356,1.9999999494757503e-05,0.6441363096237183,0.7241379022598267,0.8181347250938416
9,0.75665682554245,1.9999999494757503e-05,0.6236874461174011,0.7137930989265442,0.8352293372154236
10,0.7655325531959534,1.9999999494757503e-05,0.6005409955978394,0.7379310131072998,0.8051760196685791
11,0.7721893787384033,1.9999999494757503e-05,0.5926823019981384,0.7275862097740173,0.840117335319519
12,0.7707100510597229,1.9999999494757503e-05,0.6029409170150757,0.7206896543502808,0.838586151599884
13,0.7714496850967407,1.9999999494757503e-05,0.5795793533325195,0.7068965435028076,0.8926743865013123
14,0.7995561957359314,3.999999989900971e-06,0.5420345067977905,0.7275862097740173,0.8373857140541077
15,0.7899408340454102,3.999999989900971e-06,0.5576387643814087,0.7172414064407349,0.828357994556427
