class_label,baseline_f1,candidate_f1,f1_difference,precision,recall,support
cerocospora,0.7517,0.8080808080808081,0.05638080808080803,0.7407407407407407,0.8888888888888888,135.0
healthy,0.5263,0.5517241379310345,0.025424137931034485,0.6486486486486487,0.48,50.0
murda complex,0.5,0.6436781609195402,0.14367816091954022,0.6086956521739131,0.6829268292682927,41.0
nutritional deficiency,0.3704,0.5757575757575758,0.2053575757575758,0.7307692307692307,0.475,40.0
powdery mildew,0.7391,0.7441860465116279,0.005086046511627917,0.8421052631578947,0.6666666666666666,24.0
