threshold,n_total,accepted_count,rejected_count,coverage_rate,rejection_rate,accepted_accuracy,model_name,crop,subset_name,is_calibrated
0.5,1340,1242,98,0.926865671641791,0.07313432835820896,0.8671497584541062,Sugarcane,Sugarcane,internal_test,True
0.55,1340,1199,141,0.8947761194029851,0.10522388059701493,0.8798999165971643,Sugarcane,Sugarcane,internal_test,True
0.6,1340,1155,185,0.8619402985074627,0.13805970149253732,0.8917748917748918,Sugarcane,Sugarcane,internal_test,True
0.65,1340,1113,227,0.8305970149253732,0.16940298507462687,0.9011680143755616,Sugarcane,Sugarcane,internal_test,True
0.7,1340,1051,289,0.7843283582089552,0.21567164179104478,0.9143672692673644,Sugarcane,Sugarcane,internal_test,True
0.75,1340,983,357,0.7335820895522388,0.2664179104477612,0.930824008138352,Sugarcane,Sugarcane,internal_test,True
0.8,1340,923,417,0.6888059701492537,0.3111940298507463,0.9404117009750813,Sugarcane,Sugarcane,internal_test,True
0.85,1340,849,491,0.6335820895522388,0.3664179104477612,0.9587750294464076,Sugarcane,Sugarcane,internal_test,True
0.9,1340,771,569,0.5753731343283582,0.4246268656716418,0.9714656290531777,Sugarcane,Sugarcane,internal_test,True
0.95,1340,631,709,0.4708955223880597,0.5291044776119403,0.9857369255150554,Sugarcane,Sugarcane,internal_test,True
0.5,450,410,40,0.9111111111111111,0.08888888888888889,0.8219512195121951,Sugarcane,Sugarcane,track_a_internal,False
0.55,450,394,56,0.8755555555555555,0.12444444444444444,0.8274111675126904,Sugarcane,Sugarcane,track_a_internal,False
0.6,450,377,73,0.8377777777777777,0.1622222222222222,0.843501326259947,Sugarcane,Sugarcane,track_a_internal,False
0.65,450,359,91,0.7977777777777778,0.20222222222222222,0.8579387186629527,Sugarcane,Sugarcane,track_a_internal,False
0.7,450,339,111,0.7533333333333333,0.24666666666666667,0.8702064896755162,Sugarcane,Sugarcane,track_a_internal,False
0.75,450,315,135,0.7,0.3,0.9015873015873016,Sugarcane,Sugarcane,track_a_internal,False
0.8,450,291,159,0.6466666666666666,0.35333333333333333,0.9072164948453608,Sugarcane,Sugarcane,track_a_internal,False
0.85,450,256,194,0.5688888888888889,0.4311111111111111,0.93359375,Sugarcane,Sugarcane,track_a_internal,False
0.9,450,233,217,0.5177777777777778,0.4822222222222222,0.9527896995708155,Sugarcane,Sugarcane,track_a_internal,False
0.95,450,188,262,0.4177777777777778,0.5822222222222222,0.9787234042553191,Sugarcane,Sugarcane,track_a_internal,False
0.5,450,412,38,0.9155555555555556,0.08444444444444445,0.8228155339805825,Sugarcane,Sugarcane,track_a_internal,True
0.55,450,395,55,0.8777777777777778,0.12222222222222222,0.8253164556962025,Sugarcane,Sugarcane,track_a_internal,True
0.6,450,382,68,0.8488888888888889,0.1511111111111111,0.837696335078534,Sugarcane,Sugarcane,track_a_internal,True
0.65,450,366,84,0.8133333333333334,0.18666666666666668,0.8497267759562842,Sugarcane,Sugarcane,track_a_internal,True
0.7,450,344,106,0.7644444444444445,0.23555555555555555,0.8691860465116279,Sugarcane,Sugarcane,track_a_internal,True
0.75,450,319,131,0.7088888888888889,0.2911111111111111,0.896551724137931,Sugarcane,Sugarcane,track_a_internal,True
0.8,450,296,154,0.6577777777777778,0.3422222222222222,0.9054054054054054,Sugarcane,Sugarcane,track_a_internal,True
0.85,450,267,183,0.5933333333333334,0.4066666666666667,0.9288389513108615,Sugarcane,Sugarcane,track_a_internal,True
0.9,450,243,207,0.54,0.46,0.9465020576131687,Sugarcane,Sugarcane,track_a_internal,True
0.95,450,199,251,0.44222222222222224,0.5577777777777778,0.9698492462311558,Sugarcane,Sugarcane,track_a_internal,True
0.5,60,41,19,0.6833333333333333,0.31666666666666665,0.36585365853658536,Sugarcane,Sugarcane,track_b_external,False
0.55,60,40,20,0.6666666666666666,0.3333333333333333,0.375,Sugarcane,Sugarcane,track_b_external,False
0.6,60,33,27,0.55,0.45,0.45454545454545453,Sugarcane,Sugarcane,track_b_external,False
0.65,60,30,30,0.5,0.5,0.4666666666666667,Sugarcane,Sugarcane,track_b_external,False
0.7,60,26,34,0.43333333333333335,0.5666666666666667,0.5,Sugarcane,Sugarcane,track_b_external,False
0.75,60,21,39,0.35,0.65,0.5714285714285714,Sugarcane,Sugarcane,track_b_external,False
0.8,60,18,42,0.3,0.7,0.5555555555555556,Sugarcane,Sugarcane,track_b_external,False
0.85,60,13,47,0.21666666666666667,0.7833333333333333,0.6923076923076923,Sugarcane,Sugarcane,track_b_external,False
0.9,60,11,49,0.18333333333333332,0.8166666666666667,0.6363636363636364,Sugarcane,Sugarcane,track_b_external,False
0.95,60,9,51,0.15,0.85,0.6666666666666666,Sugarcane,Sugarcane,track_b_external,False
0.5,60,43,17,0.7166666666666667,0.2833333333333333,0.3488372093023256,Sugarcane,Sugarcane,track_b_external,True
0.55,60,40,20,0.6666666666666666,0.3333333333333333,0.375,Sugarcane,Sugarcane,track_b_external,True
