model_name,crop,subset_name,brier_uncalibrated,brier_calibrated,brier_absolute_change,brier_relative_pct_change
Tomato,Tomato,validation,0.13414141535758972,0.13335442543029785,-0.0007869899272918701,-0.586686762767441
Tomato,Tomato,internal_test,0.14303846657276154,0.14286425709724426,-0.00017420947551727295,-0.12179204635744273
Tomato,Tomato,track_a_internal,0.1957518756389618,0.19632023572921753,0.0005683600902557373,0.2903472001995024
Tomato,Tomato,track_b_external,1.4589612483978271,1.4731851816177368,0.014223933219909668,0.9749356424325747
Tomato,Tomato,track_c_realworld,1.2859482765197754,1.2992337942123413,0.013285517692565918,1.0331300204796077
Tomato,Tomato,track_d_cross_crop,,,,
Tomato,Tomato,track_d_unrelated,,,,
Grape,Grape,validation,0.13991041481494904,0.13809669017791748,-0.0018137246370315552,-1.2963471228574786
Grape,Grape,internal_test,0.15532664954662323,0.15299974381923676,-0.0023269057273864746,-1.4980724390684965
Grape,Grape,track_a_internal,0.17383714020252228,0.1725309193134308,-0.0013062208890914917,-0.7514049572891784
Grape,Grape,track_b_external,1.422676920890808,1.3795737028121948,-0.04310321807861328,-3.029726387325116
Grape,Grape,track_c_realworld,1.506019949913025,1.4573506116867065,-0.04866933822631836,-3.23165295580109
Grape,Grape,track_d_cross_crop,,,,
Grape,Grape,track_d_unrelated,,,,
Chilli,Chilli,validation,0.48720449209213257,0.48331981897354126,-0.0038846731185913086,-0.7973393475724972
Chilli,Chilli,internal_test,0.4857347011566162,0.4823160171508789,-0.0034186840057373047,-0.7038171243678579
Chilli,Chilli,track_a_internal,0.6113716959953308,0.5930233001708984,-0.018348395824432373,-3.001185031073552
Chilli,Chilli,track_b_external,0.6882386803627014,0.6670864224433899,-0.021152257919311523,-3.073389875175905
Chilli,Chilli,track_c_realworld,0.5514079928398132,0.5519267320632935,0.0005187392234802246,0.09407539067554303
Chilli,Chilli,track_d_cross_crop,,,,
Chilli,Chilli,track_d_unrelated,,,,
Sugarcane,Sugarcane,validation,0.2243206799030304,0.22396588325500488,-0.0003547966480255127,-0.15816493074953436
Sugarcane,Sugarcane,internal_test,0.23564131557941437,0.2360149323940277,0.0003736168146133423,0.1585531865219231
Sugarcane,Sugarcane,track_a_internal,0.29994550347328186,0.3013917803764343,0.0014462769031524658,0.4821798914819523
Sugarcane,Sugarcane,track_b_external,0.8747431635856628,0.8845263123512268,0.009783148765563965,1.1184024263146939
Sugarcane,Sugarcane,track_c_realworld,1.0604387521743774,1.0726683139801025,0.012229561805725098,1.153254893849266
Sugarcane,Sugarcane,track_d_cross_crop,,,,
Sugarcane,Sugarcane,track_d_unrelated,,,,
Chilli (Candidate D - Supplementary),Chilli,validation,0.3716520071029663,0.36830368638038635,-0.003348320722579956,-0.9009290030962492
Chilli (Candidate D - Supplementary),Chilli,internal_test,0.4508068263530731,0.4313424229621887,-0.0194644033908844,-4.317681599532795
Chilli (Candidate D - Supplementary),Chilli,track_a_internal,0.5742650628089905,0.5306862592697144,-0.04357880353927612,-7.588621763983422
Chilli (Candidate D - Supplementary),Chilli,track_b_external,0.11520301550626755,0.12483077496290207,0.009627759456634521,8.357211323266734
Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,0.2632410526275635,0.24992001056671143,-0.01332104206085205,-5.060396897781296
Chilli (Candidate D - Supplementary),Chilli,track_d_cross_crop,,,,
Chilli (Candidate D - Supplementary),Chilli,track_d_unrelated,,,,
