model_name,crop,subset_name,sample_count,temperature,is_calibrated,nll,brier_score,ece_10bin,mean_confidence,accuracy
Tomato,Tomato,validation,2179,1.0,False,0.274887353181839,0.13414141535758972,0.01757451841293972,0.8952373266220093,0.9109683340982102
Tomato,Tomato,validation,2179,0.9317103036403772,True,0.2739344835281372,0.13335442543029785,0.01286929430027192,0.9037754535675049,0.9109683340982102
Tomato,Tomato,internal_test,2180,1.0,False,0.28492745757102966,0.14303846657276154,0.011451230608268616,0.8958187103271484,0.9022935779816513
Tomato,Tomato,internal_test,2180,0.9317103036403772,True,0.28463783860206604,0.14286425709724426,0.005246144423791028,0.904560923576355,0.9022935779816513
Tomato,Tomato,track_a_internal,300,1.0,False,0.391010046005249,0.1957518756389618,0.024902458687623343,0.8699876666069031,0.86
Tomato,Tomato,track_a_internal,300,0.9317103036403772,True,0.3932499289512634,0.19632023572921753,0.034713300665219625,0.8803861737251282,0.86
Tomato,Tomato,track_b_external,272,1.0,False,9.936698913574219,1.4589612483978271,0.6787540722939679,0.8294894099235535,0.15073529411764705
Tomato,Tomato,track_b_external,272,0.9317103036403772,True,10.604843139648438,1.4731851816177368,0.689980003681472,0.8407153487205505,0.15073529411764705
Tomato,Tomato,track_c_realworld,188,1.0,False,8.055675506591797,1.2859482765197754,0.5953254423084411,0.8400062322616577,0.24468085106382978
Tomato,Tomato,track_c_realworld,188,0.9317103036403772,True,8.598666191101074,1.2992337942123413,0.6060592192126081,0.8507400751113892,0.24468085106382978
Tomato,Tomato,track_d_cross_crop,75,1.0,False,,,,0.8737668991088867,
Tomato,Tomato,track_d_cross_crop,75,0.9317103036403772,True,,,,0.8837018013000488,
Tomato,Tomato,track_d_unrelated,20,1.0,False,,,,0.8197838068008423,
Tomato,Tomato,track_d_unrelated,20,0.9317103036403772,True,,,,0.8280658721923828,
Grape,Grape,validation,931,1.0,False,0.2473398745059967,0.13991041481494904,0.029556636747561003,0.9185372591018677,0.8990332975295381
Grape,Grape,validation,931,1.1481942217606924,True,0.24442265927791595,0.13809669017791748,0.020206333039014347,0.9055202007293701,0.8990332975295381
Grape,Grape,internal_test,931,1.0,False,0.27594172954559326,0.15532664954662323,0.03288407987093695,0.920259952545166,0.8904403866809882
Grape,Grape,internal_test,931,1.1481942217606924,True,0.2690671980381012,0.15299974381923676,0.019571087830304847,0.907349169254303,0.8904403866809882
Grape,Grape,track_a_internal,225,1.0,False,0.307047039270401,0.17383714020252228,0.025915620194541085,0.8988859057426453,0.8844444444444445
Grape,Grape,track_a_internal,225,1.1481942217606924,True,0.3025248348712921,0.1725309193134308,0.023242118358612063,0.8839508891105652,0.8844444444444445
