model_name,crop,optimal_temperature_T,val_accuracy,val_nll_before,val_nll_after,val_ece_before,val_ece_after,val_brier_before,val_brier_after,test_accuracy,test_nll_before,test_nll_after,test_ece_before,test_ece_after,test_brier_before,test_brier_after,selected_threshold_90,selected_threshold_95
Tomato,Tomato,0.9317103036403772,0.9109683340982102,0.274887353181839,0.2739344835281372,0.01757451841293972,0.01286929430027192,0.13414141535758972,0.13335442543029785,0.9022935779816513,0.28492745757102966,0.28463783860206604,0.011451230608268616,0.005246144423791028,0.14303846657276154,0.14286425709724426,0.5,0.65
Grape,Grape,1.1481942217606924,0.8990332975295381,0.2473398745059967,0.24442265927791595,0.029556636747561003,0.020206333039014347,0.13991041481494904,0.13809669017791748,0.8904403866809882,0.27594172954559326,0.2690671980381012,0.03288407987093695,0.019571087830304847,0.15532664954662323,0.15299974381923676,0.5,0.75
Chilli,Chilli,1.2629897936445373,0.6517241379310345,0.9410802125930786,0.9221141934394836,0.06022952075662284,0.02790325921157311,0.48720449209213257,0.48331981897354126,0.6379310344827587,0.9398157596588135,0.9248228073120117,0.08011924829976312,0.06758904066579095,0.4857347011566162,0.4823160171508789,0.95,0.95
Sugarcane,Sugarcane,0.9605418538296602,0.8513816280806572,0.4332639276981354,0.4328339397907257,0.026415616251622854,0.022755821508823534,0.2243206799030304,0.22396588325500488,0.8343283582089552,0.4469817578792572,0.4476415812969208,0.017008326058067496,0.0158576652852457,0.23564131557941437,0.2360149323940277,0.65,0.8
Chilli (Candidate D - Supplementary),Chilli,1.49791334077081,0.7275862068965517,0.8218147158622742,0.7618604898452759,0.08343533231266614,0.05645604267202575,0.3716520071029663,0.36830368638038635,0.6862068965517242,0.9466953873634338,0.8460161685943604,0.11649063938650592,0.0391220517199615,0.4508068263530731,0.4313424229621887,0.9,0.95
