class,precision,recall,f1_score,support
Bacterial Leaf Spot,0.0,0.0,0.0,0
Black Rot,0.8643,1.0,0.9272,121
Downy Mildew,0.0,0.0,0.0,0
Esca (Black Measles),0.7519,0.7463,0.7491,134
Healthy Leaves,0.9762,0.988,0.982,166
Leaf Blight,0.6667,0.5347,0.5934,101
Powdery Mildew,0.0,0.0,0.0,0
