evaluation_track,crop,n_samples,accuracy,macro_f1,weighted_f1,mean_conf_all,mean_conf_correct,mean_conf_errors,pct_high_conf_errors_ge_80
TRACK_A_INTERNAL,Chilli,144,0.5625,0.5659356368327464,0.5565705519333357,0.6503274465600649,0.7008198742513303,0.5854086109570095,9.523809523809524
TRACK_A_INTERNAL,Grape,225,0.88,0.8685700232513396,0.8788418939428299,0.9060801691479153,0.9349509444501665,0.69436115026474,25.925925925925924
TRACK_A_INTERNAL,Sugarcane,450,0.82,0.826261209235675,0.8193207625439006,0.8256022673183018,0.8661056436335814,0.6410868863264719,23.456790123456788
TRACK_A_INTERNAL,Tomato,300,0.88,0.879497924236332,0.879497924236332,0.8730855564276377,0.9031866123956261,0.6523444793290563,27.77777777777778
TRACK_B_EXTERNAL,Chilli,120,0.55,0.3805921052631579,0.4757401315789474,0.6111176490783692,0.6831254295327447,0.5231081396341324,5.555555555555555
TRACK_B_EXTERNAL,Grape,180,0.13333333333333333,0.07976865439050311,0.09306343012225365,0.7757549212210708,0.81663478910923,0.7694657107767386,51.28205128205128
TRACK_B_EXTERNAL,Sugarcane,60,0.38333333333333336,0.1162280701754386,0.5230263157894737,0.6571501230200132,0.7327484307081803,0.6101565804030444,27.027027027027028
TRACK_B_EXTERNAL,Tomato,272,0.14338235294117646,0.06855104515194337,0.07560777038817283,0.8433287161238053,0.8573115231134952,0.8409882462843293,66.95278969957081
TRACK_C_REALWORLD,Chilli,97,0.5773195876288659,0.4166227106227106,0.5339964502851101,0.6268860224596003,0.6816048531660012,0.5521481073484188,9.75609756097561
TRACK_C_REALWORLD,Grape,100,0.1,0.060041407867494824,0.057391304347826085,0.747932861149311,0.8327751457691193,0.7385059406359991,45.55555555555556
TRACK_C_REALWORLD,Sugarcane,40,0.3,0.1434782608695652,0.4304347826086957,0.7448642134666443,0.9053198993206024,0.6760974909578051,32.142857142857146
TRACK_C_REALWORLD,Tomato,188,0.25,0.155242673992674,0.1755767282363027,0.8476710871179053,0.8422756207750198,0.8494695758988672,68.08510638297872
TRACK_D_CROSS_CROP,Chilli,75,0.0,0.0,0.0,0.6523324151833853,0.0,0.6523324151833853,28.000000000000004
TRACK_D_CROSS_CROP,Grape,75,0.0,0.0,0.0,0.7625651097297669,0.0,0.7625651097297669,45.33333333333333
TRACK_D_CROSS_CROP,Sugarcane,75,0.0,0.0,0.0,0.7454488790035247,0.0,0.7454488790035247,41.333333333333336
TRACK_D_CROSS_CROP,Tomato,75,0.0,0.0,0.0,0.8825126353899638,0.0,0.8825126353899638,77.33333333333333
TRACK_D_UNRELATED,Chilli,20,0.0,0.0,0.0,0.7508358791470527,0.0,0.7508358791470527,55.00000000000001
TRACK_D_UNRELATED,Grape,20,0.0,0.0,0.0,0.832506500184536,0.0,0.832506500184536,65.0
TRACK_D_UNRELATED,Sugarcane,20,0.0,0.0,0.0,0.7112780600786209,0.0,0.7112780600786209,35.0
TRACK_D_UNRELATED,Tomato,20,0.0,0.0,0.0,0.9072303354740143,0.0,0.9072303354740143,80.0
