evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Sugarcane,Bacterial Leaf Spot,13,0.7595017277277433,0.9956974983215332,D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease553.jpg
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Chilli,Leaf Blight,13,0.7469496910388653,0.9593799114227295,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3285.JPG
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Sugarcane,Tomato___Tomato_Yellow_Leaf_Curl_Virus,13,0.9646774163612952,1.0,D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease553.jpg
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Tomato,Yellow Leaf Disease,13,0.810193405701564,0.9988466501235962,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Leaf_Mold\a6a109c7-b0f1-4475-8b50-22681c59a909___Crnl_L.Mold 6551.JPG
TRACK_C_REALWORLD,Grape,Esca (Black Measles),Healthy Leaves,13,0.762785751086015,0.9857147336006165,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Esca (Black Measles)\vineyard_00000043.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Leaf_Mold,Tomato___Late_blight,13,0.8613867026108962,0.9999282360076904,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Leaf_Mold\pak_1723454500586.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___healthy,Tomato___Early_blight,13,0.8473654297681955,0.9998754262924194,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20140818-tomato-sauce-vicky-wasik-1.jpg
TRACK_D_UNRELATED,Chilli,Unrelated / Non-Leaf,cerocospora,12,0.8710096205274264,0.998089611530304,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\baboon.jpg
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Chilli,Pokkah Boeng,12,0.8384691402316093,0.9996262788772583,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3285.JPG
TRACK_C_REALWORLD,Tomato,Tomato___Leaf_Mold,Tomato___Early_blight,11,0.8526693853464994,0.9997125267982483,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_50_20Leafmold_20Top.jpg
TRACK_D_CROSS_CROP,Chilli,Cross-Crop: Sugarcane,healthy,11,0.5358931774442847,0.8217494487762451,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1496.jpg
TRACK_D_CROSS_CROP,Chilli,Cross-Crop: Grape,healthy,11,0.6174488961696625,0.9158636927604675,D:\CropDiseaseProject\grape_2024\healthy\healthy533.jpg
TRACK_A_INTERNAL,Chilli,healthy,cerocospora,11,0.5540540191260251,0.8478919267654419,D:\CropDiseaseProject\chilli_cold\healthy\IMG_4417.JPG
TRACK_C_REALWORLD,Chilli,murda complex,cerocospora,11,0.6591501452706077,0.9644427299499512,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\murda complex\ulfa_field_Leaf_Curl__1039_.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Early_blight,Tomato___Late_blight,11,0.8244884339245883,0.9996756315231323,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_100_46341.jpg
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Sugarcane,Tomato___Late_blight,11,0.9432916749607433,1.0,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image297.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Leaf_Mold,Tomato___Early_blight,10,0.9119596242904663,0.9984918832778931,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Leaf_Mold\pak_23633262_1572609386115825_1396180255_o.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Tomato_mosaic_virus,Tomato___Early_blight,10,0.8977813959121704,0.9998434782028198,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_mosaic_virus\plantdoc_51196-004-61703A1B.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Late_blight,Tomato___Early_blight,10,0.8517041862010956,0.9718862771987915,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Late_blight\pak_5816170621_e1cce08736_z.jpg
TRACK_C_REALWORLD,Tomato,Tomato___healthy,Tomato___Early_blight,10,0.8607649743556977,0.999975323677063,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___healthy\pd_real_2013-08-20-06.jpg
TRACK_B_EXTERNAL,Grape,Downy Mildew,Healthy Leaves,10,0.8307260662317276,0.9962912797927856,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Downy Mildew\gldd_1573744-PPT_jpg.rf.71758ce1e89ecb1357630780f438940d.jpg
TRACK_B_EXTERNAL,Sugarcane,Healthy Leaves,Mosaic / Viral Disease,10,0.6405676603317261,0.9674094915390015,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\sugarcane\Healthy Leaves\sabid_S_H-1-_jpg.rf.d9010f699490fd0b0e37fc050d99d9fd.jpg
TRACK_D_UNRELATED,Tomato,Unrelated / Non-Leaf,Tomato___Early_blight,10,0.9233348667621613,0.9999227523803711,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\aloeL.jpg
TRACK_C_REALWORLD,Grape,Black Rot,Powdery Mildew,10,0.803346472978592,0.9797234535217285,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Black Rot\pd_real_grape_F15a.jpg
TRACK_A_INTERNAL,Sugarcane,Pokkah Boeng,Smut,10,0.7344098269939423,0.9295373558998108,D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng028.jpg
TRACK_B_EXTERNAL,Grape,Downy Mildew,Black Rot,9,0.676119840807385,0.9858893156051636,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Downy Mildew\gldd_1_jpg.rf.361e3c2f1eb29cc6e36e438efc5e4969.jpg
