model_name,benchmark_subset,true_crop,predicted_crop,count,total_true_crop,row_percentage
Model B (Augmented),Track C Real-World,Chilli,Chilli,59,97,60.824742268041234
Model B (Augmented),Track C Real-World,Chilli,Sugarcane,0,97,0.0
Model B (Augmented),Track C Real-World,Sugarcane,Tomato,0,40,0.0
Model B (Augmented),Track C Real-World,Sugarcane,Grape,0,40,0.0
Model B (Augmented),Track C Real-World,Sugarcane,Chilli,0,40,0.0
Model B (Augmented),Track C Real-World,Sugarcane,Sugarcane,40,40,100.0
Model B (Augmented),Phase 18 Benchmark,Tomato,Tomato,62,460,13.478260869565217
Model B (Augmented),Phase 18 Benchmark,Tomato,Grape,161,460,35.0
Model B (Augmented),Phase 18 Benchmark,Tomato,Chilli,226,460,49.130434782608695
Model B (Augmented),Phase 18 Benchmark,Tomato,Sugarcane,11,460,2.391304347826087
Model B (Augmented),Phase 18 Benchmark,Grape,Tomato,179,280,63.92857142857142
Model B (Augmented),Phase 18 Benchmark,Grape,Grape,96,280,34.285714285714285
Model B (Augmented),Phase 18 Benchmark,Grape,Chilli,5,280,1.7857142857142856
Model B (Augmented),Phase 18 Benchmark,Grape,Sugarcane,0,280,0.0
Model B (Augmented),Phase 18 Benchmark,Chilli,Tomato,20,332,6.024096385542169
Model B (Augmented),Phase 18 Benchmark,Chilli,Grape,106,332,31.92771084337349
Model B (Augmented),Phase 18 Benchmark,Chilli,Chilli,201,332,60.54216867469879
Model B (Augmented),Phase 18 Benchmark,Chilli,Sugarcane,5,332,1.5060240963855422
Model B (Augmented),Phase 18 Benchmark,Sugarcane,Tomato,0,100,0.0
Model B (Augmented),Phase 18 Benchmark,Sugarcane,Grape,0,100,0.0
Model B (Augmented),Phase 18 Benchmark,Sugarcane,Chilli,0,100,0.0
Model B (Augmented),Phase 18 Benchmark,Sugarcane,Sugarcane,100,100,100.0
