crop_name,total_samples,both_correct_count,both_correct_pct,both_incorrect_same_count,both_incorrect_same_pct,both_incorrect_diff_count,both_incorrect_diff_pct,a_correct_b_incorrect_count,a_correct_b_incorrect_pct,b_correct_a_incorrect_count,b_correct_a_incorrect_pct,model_a_accuracy,model_b_accuracy
ALL,1172,419,35.750853242320815,613,52.3037542662116,54,4.607508532423208,46,3.9249146757679183,40,3.4129692832764507,39.67576791808874,35.750853242320815
Tomato,460,45,9.782608695652174,349,75.8695652173913,38,8.26086956521739,11,2.391304347826087,17,3.6956521739130435,12.173913043478262,9.782608695652174
Grape,280,92,32.857142857142854,161,57.49999999999999,3,1.0714285714285714,20,7.142857142857142,4,1.4285714285714286,40.0,32.857142857142854
Chilli,332,182,54.81927710843374,103,31.024096385542173,13,3.91566265060241,15,4.518072289156627,19,5.72289156626506,59.337349397590366,54.81927710843374
Sugarcane,100,100,100.0,0,0.0,0,0.0,0,0.0,0,0.0,100.0,100.0
