epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6636719703674316,0.0010000000474974513,1.006201148033142,0.7744361162185669,0.5997713804244995
1,0.8219304084777832,0.0010000000474974513,0.4971793591976166,0.8292158842086792,0.45327574014663696
2,0.8440451622009277,0.0010000000474974513,0.44969072937965393,0.8549946546554565,0.37969180941581726
3,0.8567150235176086,0.0010000000474974513,0.386027991771698,0.8689581155776978,0.3366193175315857
4,0.8698456287384033,0.0010000000474974513,0.35910165309906006,0.8839957118034363,0.3107820749282837
5,0.8739921450614929,0.0010000000474974513,0.33646559715270996,0.8700322508811951,0.3148932158946991
6,0.8716885447502136,0.0010000000474974513,0.33024534583091736,0.8775510191917419,0.30354639887809753
7,0.8806726336479187,0.0010000000474974513,0.3027229905128479,0.8850698471069336,0.2984147071838379
8,0.8832066059112549,0.0010000000474974513,0.29722970724105835,0.8850698471069336,0.27265942096710205
9,0.8838977217674255,0.0010000000474974513,0.2874414622783661,0.8850698471069336,0.28396347165107727
10,0.8878138661384583,0.0010000000474974513,0.289172887802124,0.8839957118034363,0.2923318147659302
11,0.8972586989402771,0.0010000000474974513,0.25862860679626465,0.8796992301940918,0.3020015060901642
12,0.8926514387130737,0.0005000000237487257,0.27298504114151,0.8818475008010864,0.2871825098991394
13,0.897949755191803,0.0005000000237487257,0.2594333589076996,0.8893662691116333,0.27249282598495483
14,0.8977194428443909,0.0005000000237487257,0.26353204250335693,0.8893662691116333,0.2692282795906067
15,0.8910389542579651,0.0005000000237487257,0.25611814856529236,0.882921576499939,0.27454930543899536
16,0.8951854705810547,0.0005000000237487257,0.24884405732154846,0.882921576499939,0.2759377658367157
17,0.900253415107727,0.0005000000237487257,0.24891848862171173,0.8796992301940918,0.26221728324890137
18,0.9016355872154236,0.0005000000237487257,0.2431168556213379,0.8904404044151306,0.2767026722431183
19,0.9032480716705322,0.0005000000237487257,0.23512348532676697,0.8904404044151306,0.2615925967693329
20,0.9025570154190063,0.0005000000237487257,0.23703765869140625,0.9011815190315247,0.25319352746009827
21,0.897949755191803,0.0005000000237487257,0.2442304641008377,0.8904404044151306,0.26423707604408264
22,0.8972586989402771,0.0005000000237487257,0.24430805444717407,0.8947368264198303,0.25293296575546265
23,0.8993319272994995,0.0005000000237487257,0.25245529413223267,0.8947368264198303,0.25463107228279114
24,0.9016355872154236,0.0005000000237487257,0.23638498783111572,0.8990333080291748,0.24733977019786835
25,0.9064731597900391,0.0005000000237487257,0.21847258508205414,0.8979591727256775,0.2612638473510742
26,0.9043999314308167,0.0005000000237487257,0.24022889137268066,0.896885097026825,0.26352399587631226
27,0.9108500480651855,0.0005000000237487257,0.22057318687438965,0.8947368264198303,0.2536332905292511
28,0.9048606157302856,0.0002500000118743628,0.2332717329263687,0.8936627507209778,0.2610071897506714
29,0.9062427878379822,0.0002500000118743628,0.22965872287750244,0.8893662691116333,0.25850945711135864
