,cerocospora,healthy,murda complex,nutritional deficiency,powdery mildew
cerocospora,119,5,5,5,1
healthy,9,32,5,3,1
murda complex,10,3,27,1,0
nutritional deficiency,13,6,5,14,2
powdery mildew,0,3,0,0,21
