class_label,baseline_f1,candidate_f1,f1_difference,precision,recall,support
cerocospora,0.7517,0.8321678321678322,0.08046783216783215,0.7880794701986755,0.8814814814814815,135.0
healthy,0.5263,0.6464646464646465,0.12016464646464653,0.6530612244897959,0.64,50.0
murda complex,0.5,0.6506024096385542,0.1506024096385542,0.6428571428571429,0.6585365853658537,41.0
nutritional deficiency,0.3704,0.4444444444444444,0.07404444444444441,0.6086956521739131,0.35,40.0
powdery mildew,0.7391,0.8571428571428571,0.11804285714285712,0.84,0.875,24.0
