epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6538461446762085,9.999999747378752e-05,0.9691047668457031,0.5517241358757019,1.5707346200942993
1,0.7034023404121399,9.999999747378752e-05,0.7619540691375732,0.5241379141807556,1.3405797481536865
2,0.7204142212867737,9.999999747378752e-05,0.7136173248291016,0.5586206912994385,1.1375726461410522
3,0.7352070808410645,9.999999747378752e-05,0.661230206489563,0.6241379380226135,1.0488837957382202
4,0.7914201021194458,9.999999747378752e-05,0.5689437389373779,0.6551724076271057,0.9921138286590576
5,0.8195266127586365,9.999999747378752e-05,0.5083775520324707,0.6206896305084229,1.0556522607803345
6,0.8210059404373169,9.999999747378752e-05,0.4606092870235443,0.6241379380226135,1.2823266983032227
7,0.8520709872245789,9.999999747378752e-05,0.39583465456962585,0.7103448510169983,1.0427676439285278
8,0.8964496850967407,1.9999999494757503e-05,0.3015391528606415,0.7275862097740173,0.8866308927536011
9,0.9105029702186584,1.9999999494757503e-05,0.2813611626625061,0.7448275685310364,0.8243884444236755
10,0.9193786978721619,1.9999999494757503e-05,0.2439802885055542,0.751724123954773,0.8196278214454651
11,0.9164201021194458,1.9999999494757503e-05,0.2385280579328537,0.751724123954773,0.8697069883346558
12,0.9252958297729492,1.9999999494757503e-05,0.24207060039043427,0.7586206793785095,0.8501182198524475
13,0.9334319233894348,1.9999999494757503e-05,0.22304481267929077,0.7551724314689636,0.8285979628562927
14,0.9319526553153992,3.999999989900971e-06,0.2195761799812317,0.7620689868927002,0.819019079208374
15,0.9393491148948669,3.999999989900971e-06,0.198057159781456,0.7620689868927002,0.8160850405693054
16,0.9393491148948669,3.999999989900971e-06,0.19573694467544556,0.7620689868927002,0.8170711398124695
17,0.9415680766105652,3.999999989900971e-06,0.18859568238258362,0.7655172348022461,0.8082987070083618
18,0.9386094808578491,3.999999989900971e-06,0.20166444778442383,0.7758620977401733,0.7992399334907532
19,0.9445266127586365,3.999999989900971e-06,0.18339647352695465,0.7689655423164368,0.808670163154602
20,0.9341716170310974,3.999999989900971e-06,0.20307067036628723,0.7724137902259827,0.7927570343017578
21,0.9437869787216187,3.999999989900971e-06,0.1952633112668991,0.7758620977401733,0.8059486746788025
22,0.9482248425483704,3.999999989900971e-06,0.17958694696426392,0.7689655423164368,0.8173734545707703
23,0.9393491148948669,3.999999989900971e-06,0.18781673908233643,0.7758620977401733,0.7927901744842529
24,0.9474852085113525,9.999999974752427e-07,0.17931348085403442,0.7689655423164368,0.7955759167671204
25,0.9430473446846008,9.999999974752427e-07,0.18032270669937134,0.7724137902259827,0.8023115396499634
